length,length_lcc,coverage,directness,directness_lcc,poi_coverage,components,pop_den_length,overlap_biketrack,overlap_bikeable,efficiency_global,efficiency_global_routed,directness_lcc_linkwise,directness_all_linkwise
7816.042999999999,7816.042999999999,8.131067076631643,0.7798396925212164,0.7798396925212164,4,1,95590917.41716352,4654.458000000005,4654.458000000005,497.8236867749944,0.9461271383034052,0.812168462669295,0.812168462669295
17231.965000000015,14999.685999999996,17.02903216044392,0.6575474922624704,0.6504236263151754,9,2,223727808.66540748,10669.236,10776.304,275.8142354710579,0.9771983291684065,0.7144364309835316,0.7177947687433719
19591.192000000017,19591.192000000017,18.156368007607643,0.6333120061425377,0.6333120061425377,9,1,270514070.7490249,12924.445999999998,13031.513999999997,398.4320642619359,0.9828409154137656,0.6850578058175687,0.6850578058175687
26153.069999999996,26153.069999999996,24.096666985927314,0.600373415733567,0.600373415733567,12,1,344732706.66868675,16949.246000000017,17073.62800000002,398.10992322607797,0.9773209979926369,0.6509621752397278,0.6509621752397278
30187.174000000014,30187.174000000014,27.95246014813415,0.5895385061369462,0.5895385061369462,14,1,389487359.86573243,18795.737000000012,19337.696,385.7268220442308,0.9764343847837564,0.6458417490560181,0.6458417490560181
34497.875999999975,34497.875999999975,30.55392459782259,0.6300609734944914,0.6300609734944914,16,1,430909852.41158277,21248.203999999994,21790.162999999993,399.475825364487,0.9625918848869194,0.6844619054767447,0.6844619054767447
41556.84100000002,41556.84100000002,35.78639543889533,0.6800703738992108,0.6800703738992108,18,1,525003279.2712072,26044.119,26586.078000000005,407.03466522688603,0.951257283204582,0.7084746291838135,0.7084746291838135
47476.07300000005,47476.07300000005,41.35321613703349,0.6540460457483794,0.6540460457483794,20,1,547507184.2998412,29129.866,29671.825,394.5409924971806,0.9465009786712503,0.6986703416954309,0.6986703416954309
54597.416000000056,54597.416000000056,46.90731233049757,0.6584326408773461,0.6584326408773461,24,1,608707910.3758689,32423.277999999988,33331.830999999955,372.61962022294176,0.9269342617481723,0.6848240489979468,0.6848240489979468
61310.20500000011,61310.20500000011,52.234005761401846,0.6456611638564606,0.6456611638564606,26,1,664522180.7612318,34695.99199999998,35902.44599999997,362.23237393816174,0.9130941379247843,0.6808294615262174,0.6808294615262174
66059.57500000019,66059.57500000019,56.0206334352516,0.6430835926845939,0.6430835926845939,28,1,696018178.7893496,36716.294,37922.747999999985,357.87152862122474,0.9083046658077235,0.6741080782453962,0.6741080782453962
69856.99900000014,69856.99900000014,58.27902523710861,0.6436746176449948,0.6436746176449948,29,1,721337398.1463097,38114.44999999998,39320.90399999999,359.74831316048216,0.9005835013853125,0.6689416195112219,0.6689416195112219
74968.96400000004,74968.96400000004,61.77419143578603,0.6398052941665537,0.6398052941665537,31,1,761863082.7641361,40167.61499999999,41374.06900000004,362.2589828114529,0.8995615945178471,0.6724974503726556,0.6724974503726556
80782.99499999992,80782.99499999992,64.74503839522069,0.6532693827504693,0.6532693827504693,32,1,808375945.5957112,43213.59600000006,44540.948000000055,367.02731166583766,0.9045712987422843,0.6710576397851253,0.6710576397851253
84494.76699999979,84494.76699999979,67.9997165121709,0.6587460545442524,0.6587460545442524,34,1,843037905.758628,43978.15200000007,45348.793000000056,365.146819366144,0.8988199871867916,0.6766028954006712,0.6766028954006712
92388.01999999964,92388.01999999964,71.74166961074768,0.6647466552734963,0.6647466552734963,35,1,885474380.2136694,47126.38500000008,48497.02600000007,373.1071883676249,0.9133626993952669,0.678448548988252,0.678448548988252
98760.4879999996,98760.4879999996,75.57237466752548,0.6853620649728877,0.6853620649728877,36,1,922260515.3454696,50061.89900000004,51553.22700000006,375.61344704545996,0.9113097085887399,0.6891697586304392,0.6891697586304392
107314.09299999972,107314.09299999972,77.7110472407093,0.7050920772414008,0.7050920772414008,36,1,1036351743.8066344,56072.23300000007,57563.56100000008,395.04670554791767,0.9041398277468303,0.7084874776959693,0.7084874776959693
107314.09299999972,107314.09299999972,77.7110472407093,0.706439866616585,0.706439866616585,36,1,1036351743.8066344,56072.23300000007,57563.56100000008,395.04670554791767,0.9041398277468303,0.7077646344353796,0.7077646344353796
111850.89099999968,111850.89099999968,80.05350008738807,0.6960684693800908,0.6960684693800908,37,1,1045689413.6551304,57892.41100000008,59383.73900000008,397.3046946581617,0.9026850663242088,0.6998387149329243,0.6998387149329243
118109.29099999953,118109.29099999953,82.49349590796868,0.7079764779930122,0.7079764779930122,38,1,1083166511.5432794,60733.733000000095,62305.848000000085,400.6081804408301,0.8973167805412329,0.7102241717521219,0.7102241717521219
118109.29099999953,118109.29099999953,82.49349590796868,0.7095071843236163,0.7095071843236163,38,1,1083166511.5432794,60733.733000000095,62305.848000000085,400.6081804408301,0.8973167805412329,0.715702437269047,0.715702437269047
126347.94899999967,126347.94899999967,85.37586771737219,0.7158821865297609,0.7158821865297609,39,1,1121227497.0463839,64761.97700000011,66334.09200000014,411.99129144984283,0.8916499474052862,0.7175233557774346,0.7175233557774346
126347.94899999967,126347.94899999967,85.37586771737219,0.7142002051128352,0.7142002051128352,39,1,1121227497.0463839,64761.97700000011,66334.09200000014,411.99129144984283,0.8916499474052862,0.7171667403004113,0.7171667403004113
132097.71699999968,132097.71699999968,85.73853190626338,0.716229780075862,0.716229780075862,39,1,1187443907.7315102,67954.39100000013,69526.50600000012,419.0773597629094,0.8861674174397742,0.7200978158566795,0.7200978158566795
132097.71699999968,132097.71699999968,85.73853190626338,0.7170733616464999,0.7170733616464999,39,1,1187443907.7315102,67954.39100000013,69526.50600000012,419.0773597629094,0.8861674174397742,0.7178006531704348,0.7178006531704348
137065.52799999976,137065.52799999976,87.15882107573259,0.7152146263621726,0.7152146263621726,39,1,1227042384.1175885,70429.93500000006,72002.05000000005,424.22426098369,0.883470829123795,0.7160758106432545,0.7160758106432545
142136.03799999953,142136.03799999953,88.2537220736453,0.7183949435306878,0.7183949435306878,39,1,1252211211.7512193,72546.91900000008,74119.034,428.3577775146983,0.8810282023847587,0.7205459082955689,0.7205459082955689
144397.79299999948,144397.79299999948,88.6170823837206,0.7167343215420859,0.7167343215420859,39,1,1282240107.7561302,74007.70000000001,75579.81499999996,429.4443560707879,0.8809176575466477,0.7188400370235545,0.7188400370235545
148738.6159999996,148738.6159999996,89.05178005133034,0.7190828068061591,0.7190828068061591,39,1,1320419091.3631542,75398.23599999999,76970.351,432.4936270735336,0.8775489529656462,0.7192614289393418,0.7192614289393418
148738.6159999996,148738.6159999996,89.05178005133034,0.7178173163514945,0.7178173163514945,39,1,1320419091.3631542,75398.23599999999,76970.351,432.4936270735336,0.8775489529656462,0.7239046915379981,0.7239046915379981
161805.45400000043,161805.45400000043,91.28124036410169,0.7163169838455811,0.7163169838455811,39,1,1431327793.864,83151.25699999988,85068.18899999985,438.8336343439842,0.8723475694643397,0.7161946139702488,0.7161946139702488
161805.45400000043,161805.45400000043,91.28124036410169,0.7144043346914204,0.7144043346914204,39,1,1431327793.864,83151.25699999988,85068.18899999985,438.8336343439842,0.8723475694643397,0.7227975460789042,0.7227975460789042
161805.45400000043,161805.45400000043,91.28124036410169,0.719015737063722,0.719015737063722,39,1,1431327793.864,83151.25699999988,85068.18899999985,438.8336343439842,0.8723475694643397,0.717180052758508,0.717180052758508
173195.56700000065,173195.56700000065,93.0536393716581,0.71624067977274,0.71624067977274,39,1,1539839548.3701901,87941.7529999998,89858.68499999981,441.56434804380444,0.8705497600398819,0.7161788111209162,0.7161788111209162
173195.56700000065,173195.56700000065,93.0536393716581,0.7183712257494435,0.7183712257494435,39,1,1539839548.3701901,87941.7529999998,89858.68499999981,441.56434804380444,0.8705497600398819,0.7139493922273626,0.7139493922273626
185033.53900000048,185033.53900000048,95.16474711089936,0.71982260092115,0.71982260092115,39,1,1598431993.7023275,92871.05499999982,94787.98699999985,442.9585853027855,0.8658677776012818,0.7210798085811988,0.7210798085811988
185033.53900000048,185033.53900000048,95.16474711089936,0.7182195153932155,0.7182195153932155,39,1,1598431993.7023275,92871.05499999982,94787.98699999985,442.9585853027855,0.8658677776012818,0.7231756025136868,0.7231756025136868
185033.53900000048,185033.53900000048,95.16474711089936,0.7180463035926145,0.7180463035926145,39,1,1598431993.7023275,92871.05499999982,94787.98699999985,442.9585853027855,0.8658677776012818,0.7201240730846852,0.7201240730846852
185033.53900000048,185033.53900000048,95.16474711089936,0.7183894497052754,0.7183894497052754,39,1,1598431993.7023275,92871.05499999982,94787.98699999985,442.9585853027855,0.8658677776012818,0.7214938940130737,0.7214938940130737
