length,length_lcc,coverage,directness,directness_lcc,poi_coverage,components,pop_den_length,overlap_biketrack,overlap_bikeable,efficiency_global,efficiency_global_routed,directness_lcc_linkwise,directness_all_linkwise
7816.042999999999,7816.042999999999,8.131067076631643,0.7798396925212125,0.7798396925212125,4,1,95590917.41716352,4654.458000000005,4654.458000000005,0.7802252999959675,0.9461271383034052,0.8121684626692948,0.8121684626692948
17231.965000000015,14999.685999999996,17.02903216044392,0.6554577745656186,0.6537027207159448,9,2,223727808.66540748,10669.236,10776.304,0.4322832565453043,0.9771983291684065,0.7109666338835344,0.7168647157665357
19591.192000000017,19591.192000000017,18.156368007607643,0.6306840559494106,0.6306840559494106,9,1,270514070.7490249,12924.445999999998,13031.513999999997,0.6244597230356813,0.9828409154137656,0.682868226445003,0.682868226445003
26153.069999999996,26153.069999999996,24.096666985927314,0.5902553700755274,0.5902553700755274,12,1,344732706.66868675,16949.246000000017,17073.62800000002,0.6239624664943573,0.9773209979926369,0.6512823857023949,0.6512823857023949
30187.174000000014,30187.174000000014,27.95246014813415,0.5900517968081037,0.5900517968081037,14,1,389487359.86573243,18795.737000000012,19337.696,0.6045522809133029,0.9764343847837564,0.6403650262437385,0.6403650262437385
34497.875999999975,34497.875999999975,30.55392459782259,0.6395797079582844,0.6395797079582844,16,1,430909852.41158277,21248.203999999994,21790.162999999993,0.6260969043956123,0.9625918848869194,0.6967014814610842,0.6967014814610842
41556.84100000002,41556.84100000002,35.78639543889533,0.6817324596206635,0.6817324596206635,18,1,525003279.2712072,26044.119,26586.078000000005,0.6379396983884689,0.951257283204582,0.7077234286237782,0.7077234286237782
47476.07300000005,47476.07300000005,41.35321613703349,0.6637907593234078,0.6637907593234078,20,1,547507184.2998412,29129.866,29671.825,0.6183622812488774,0.9465009786712503,0.6940718435869435,0.6940718435869435
54597.416000000056,54597.416000000056,46.90731233049757,0.6505079672266747,0.6505079672266747,24,1,608707910.3758689,32423.277999999988,33331.830999999955,0.5840117821517797,0.9269342617481723,0.6875796362289958,0.6875796362289958
61310.20500000011,61310.20500000011,52.234005761401846,0.6460947523734176,0.6460947523734176,26,1,664522180.7612318,34695.99199999998,35902.44599999997,0.5677307943009662,0.9130941379247843,0.6793421002802371,0.6793421002802371
66059.57500000019,66059.57500000019,56.0206334352516,0.6437182266904612,0.6437182266904612,28,1,696018178.7893496,36716.294,37922.747999999985,0.560900872707932,0.9083046658077235,0.6715868990225287,0.6715868990225287
69856.99900000014,69856.99900000014,58.27902523710861,0.644979353414967,0.644979353414967,29,1,721337398.1463097,38114.44999999998,39320.90399999999,0.5638402081744546,0.9005835013853125,0.6702621681042982,0.6702621681042982
74968.96400000004,74968.96400000004,61.77419143578603,0.6330525221248579,0.6330525221248579,31,1,761863082.7641361,40167.61499999999,41374.06900000004,0.5677816209810762,0.8995615945178471,0.6705485669559701,0.6705485669559701
