network,length,length_lcc,coverage,directness,directness_lcc,poi_coverage,components,pop_den_length,efficiency_global,efficiency_global_routed,directness_lcc_linkwise,directness_all_linkwise
bikeable,557399.3839999998,461647.17900000047,119.35543127896658,0.46588854870482843,0.45084970770369004,39,400,4826125568.79149,0.33989364599383104,0.3368111545397382,0.5703232208601043,0.5624526607865227
bikeable_offstreet,239382.68200000064,25059.28000000002,114.45775638771184,0.7353961865520199,0.6751667193792686,36,472,1608832168.6268003,0.19921324941409332,0.13604404579876822,0.6978546298170945,0.7809331233668643
biketrack,468698.1379999995,410789.90500000055,116.7567825144906,0.4722369733624798,0.46153691569774796,38,253,4162751058.525648,0.4106075623518684,0.3830356406106644,0.5798769411006987,0.5571774977670461
biketrack_onstreet,272007.54199999856,174308.2909999996,102.4938614273753,0.5992602929050278,0.5921544392673511,37,115,2807571844.5370817,0.3324367765358202,0.32307537569098443,0.6475538077104623,0.6599747995772512
biketrackcarall,1355141.0770000007,1348926.2560000017,121.96702460503107,0.84197981122601,0.8375824195564416,39,54,12629673368.705576,0.7989555607678959,0.7849482842403676,0.8310098917866077,0.8256581470443195
carall,1158450.4810000064,1158450.4810000064,118.31649341092391,0.8238996947140074,0.8238996947140074,39,1,11258689581.559582,0.7994261267116497,0.7911507570775573,0.8152586553186081,0.8152586553186081
