length,length_lcc,coverage,directness,directness_lcc,poi_coverage,components,pop_den_length,overlap_biketrack,overlap_bikeable,efficiency_global,efficiency_global_routed,directness_lcc_linkwise,directness_all_linkwise
10184.125999999998,10184.125999999998,10.115269562708551,0.7210145608113756,0.7210145608113756,5,1,188505484.92083594,5481.9020000000055,5525.191000000006,35907.54529171115,0.6916032131789962,0.7602855589006151,0.7602855589006151
19538.600000000002,19538.600000000002,17.580272718304332,0.5659372493991254,0.5659372493991254,9,1,360479115.7075621,11733.435000000005,11776.724000000004,28966.317862112355,0.8951152855746863,0.6363455314526305,0.6363455314526305
24471.24300000002,24471.24300000002,21.400127183555753,0.6009022552546196,0.6009022552546196,11,1,458883063.1044652,14785.197999999995,14828.486999999994,31403.21230848277,0.8886287411752054,0.658657928037498,0.658657928037498
32387.176000000036,28850.882000000034,28.3531082624402,0.6017423757046931,0.5980900127483876,15,2,584432477.2793868,19180.243999999995,19697.305000000008,19308.19305458866,0.9422718441668688,0.6483684675536178,0.6574659619453603
37906.35000000003,37906.35000000003,32.57822290152655,0.5656429337408665,0.5656429337408665,16,1,660172164.2660347,22040.708999999995,22855.671,24977.139028995924,0.9440753873976917,0.618069881090958,0.618069881090958
46552.3089999999,46552.3089999999,39.471586379470956,0.5610788001178328,0.5610788001178328,19,1,726944042.8397774,26554.205000000034,27525.59800000003,21552.721759026193,0.9434889994419648,0.6087243919125559,0.6087243919125559
53674.368999999926,53674.368999999926,45.551832998086205,0.5416216708087476,0.5416216708087476,23,1,780784009.0250331,30937.44600000005,31926.153000000057,19363.685980998856,0.9394200973161865,0.590968316382685,0.590968316382685
59073.248999999894,59073.248999999894,50.193581886134105,0.5437986809924866,0.5437986809924866,26,1,799876164.8324562,33462.383000000045,34616.03000000006,17130.488226224694,0.93499726330044,0.592442953410147,0.592442953410147
65944.55599999992,65944.55599999992,55.05051626579394,0.5469288379196565,0.5469288379196565,29,1,845181411.7973093,36747.338000000054,37900.98500000004,14479.298966292383,0.9240553065913679,0.5753794870086613,0.5753794870086613
65944.55599999992,65944.55599999992,55.05051626579394,0.5400274214840772,0.5400274214840772,29,1,845181411.7973093,36747.338000000054,37900.98500000004,14479.298966292383,0.9240553065913679,0.5842093301705523,0.5842093301705523
75424.26299999969,75424.26299999969,61.3779257645896,0.5774295327796689,0.5774295327796689,32,1,923481090.1055467,42732.35999999998,44230.82399999999,13950.262831314196,0.9161862919322542,0.6084186753508999,0.6084186753508999
77624.40899999965,77624.40899999965,63.325262645414625,0.5667835235237381,0.5667835235237381,33,1,939748839.6265293,44190.39999999998,45688.86399999997,13846.242829054541,0.9159371614620958,0.6134636771068851,0.6134636771068851
88764.7919999996,88764.7919999996,69.02286175639615,0.6082954963317901,0.6082954963317901,35,1,1052069770.4906809,49442.30999999988,50940.77399999987,13136.042642654389,0.9105309332147182,0.6273633637053483,0.6273633637053483
94238.31699999956,94238.31699999956,72.6884232791404,0.5911050407304905,0.5911050407304905,38,1,1110753349.5746999,50858.38499999987,52477.74699999986,12886.460135823487,0.9041027627452848,0.6207445161941196,0.6207445161941196
